Registeration Number,Project Name,Type of Project,District
PR/GJ/VADODARA/VADODARA/Others/RAA00219/210917,Taksh Aura Phase-1,Residential/Group Housing,Vadodara
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00220/210917,Maruti Aamrakunj-2,Residential/Group Housing,Gandhinagar
PR/GJ/SURAT/CHORASI/SUDA/CAA00221/210917,HAPPY GOLDMINES SHOPPERS,Commercial,Surat
PR/GJ/BHARUCH/BHARUCH/Others/RAA00222/210917,R K COUNTY,Residential/Group Housing,Bharuch
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00223/210917,THE GALLERIA SHOPPING HUB,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00224/210917,SOHAM ARCADE,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00225/210917,SUNDAY RESIDENCY Phase 1,Mixed Development,Surat
PR/GJ/SURAT/CHORASI/SUDA/MAA00226/210917,LAKE VIEW RESIDENCY,Mixed Development,Surat
PR/GJ/VADODARA/VADODARA/Others/RAA00227/220917,NISARAG RESIDENCY ,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00228/220917,SHIVALIK LEGACY,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00229/220917,ADITYA ROYAL,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00230/220917,SARTHAK HABITAT,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00231/220917,ANIKET ELEGANCE,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00232/220917,SHIV HABITAT,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00233/220917,RAJYASH REYANSH,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00234/220917,TAPI ENCLAVE,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00235/220917,Shivesh 621,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00236/220917,Shreeya Antilia,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00237/220917,24K,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00238/250917,City Gate,Commercial,Ahmedabad
PR/GJ/VALSAD/PARDI/Others/MAA00239/250917,Signature A & B,Mixed Development,Valsad
PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/CAA00240/250917,SWARA PARKLANE,Commercial,Bhavnagar
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00241/250917,Sky One,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00242/250917,VRUNDALAY 3,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/CAA00243/250917,GOLDCROFT,Commercial,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00244/250917,Central Park,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00245/250917,THE BANYAN,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/CHORASI/SUDA/RAA00246/250917,Nakshatra Nebula Phase-2,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00247/250917,RAJHANS PLATINUM RESIDENCY ,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00248/250917,AARNA FORTUNE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00249/250917,Ratnaakar Halcyon,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00250/250917,Veda,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00251/250917,VRUNDALAY AVENUE 2,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00252/260917,SEVENTH PARISAR,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00253/260917,EARTH PARADISE,Residential/Group Housing,Gandhinagar
PR/GJ/VADODARA/VADODARA/Others/MAA00254/260917,AMARDEEP HOMES,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00255/260917,AMARDEEP HERITAGE PHASE-1,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00256/260917,Swapnil Homes,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00257/260917,PANCHAMRUT GREENS,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00258/260917,ANKUR APARTMENT,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00259/260917,ORCHID ELEGANCE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/MAA00260/260917,Prerna RajVijay Tirth,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00261/260917,Krish Elite,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00262/260917,Tulsi Bungalows,Residential/Group Housing,Gandhinagar
PR/GJ/VADODARA/VADODARA/Others/RAA00263/260917,NISARG PALLADIUM,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00264/260917,HARI DARSHAN BUNGLOWS,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00265/260917,Vrundalay Heights,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA00266/260917,Gala Magnus ,Commercial,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00267/260917,Naman Residency,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00268/270917,NORTH PARK (Phase-5),Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00269/270917,AARYAN EMBASSY,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00270/270917,"CELINO	",Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/RAA00271/270917,Maple Villas,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00272/270917,KARMA LIFESTYLE,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00273/270917,Narayan Aangan,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00274/270917,VALLABH KUTIR,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00275/270917,NYSA SKYDALE,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00276/270917,TAJ RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00277/270917,Shalin Sky,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00278/270917,Prerna Aartika,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00279/270917,SHRUNGAL HOMES,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00280/270917,ORCHID HARMONY COMMERCIAL,Commercial,Surat
PR/GJ/SURAT/CHORASI/SUDA/CAA00281/280917,TIME SQUARE,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00282/280917,ORCHID HARMONY,Residential/Group Housing,Surat
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00283/280917,VIVAAN INFINITY,Residential/Group Housing,Gandhinagar
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00284/280917,42 parkview,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00285/280917,PALLADIUM PRIDE,Residential/Group Housing,Surat
PR/GJ/SURAT/CHORASI/SUDA/CAA00286/280917,GREEN SIGNATURE SHOPPERS,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00287/280917,LA CITADELL,Commercial,Surat
PR/GJ/SURAT/KAMREJ/SUDA/RAA00288/280917,SURYADARSHAN SILENT CITY,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00289/280917,AASTHA RESIDENCY,Mixed Development,Surat
PR/GJ/SURAT/SURAT CITY/Others/RAA00290/280917,CHANDRADARSHAN RESIDENCY-2,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00291/280917,VANDEMATRAM FABULA,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00292/280917,WEEKEND ADDRESS,Mixed Development,Surat
PR/GJ/SURAT/CHORASI/SUDA/CAA00293/280917,AAKASH  RETAIL,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00294/280917,EXPRESSIONS,Residential/Group Housing,Surat
PR/GJ/GANDHINAGAR/KALOL/AUDA/PAA00295/280917,129 Retreat,Plotted Development,Gandhinagar
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00296/290917,VICTORY SUNRISE,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/RAA00297/290917,Navpad Helios,Residential/Group Housing,Gandhinagar
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00298/290917,ORBIT 1,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00299/290917,THE EVOLUTION,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00300/290917,DIVYAKUNJ PARISAR,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/CHORASI/SUDA/CAA00301/290917,THE ADDRESS,Commercial,Surat
PR/GJ/SURAT/KAMREJ/SUDA/MAA00302/290917,Amrut Kunj,Mixed Development,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00303/290917,NORTH PARK (Phase-6),Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00304/290917,Venus Parkheights,Mixed Development,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/Others/RAA00305/290917,HARI AALAYAM,Residential/Group Housing,Gandhinagar
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00306/031017,MADHAV PLATINA,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00307/031017,Om Mangalya,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00308/031017,MARUTI BLISS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00309/031017,Avadh Dreamland,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00310/031017,Radiance Residency,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00311/031017,SKYLIGHTS,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00312/031017,Shivalik Satyamev,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00313/031017,PRAMUKH ARANYA(BUILDING B-2 & B-3),Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00314/031017,Shivalik Shilp,Commercial,Ahmedabad
PR/GJ/BHAVNAGAR/BHAVNAGAR/Others/CAA00315/031017,SWASTIK SQUARE,Commercial,Bhavnagar
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00316/031017,madhuram royal,Mixed Development,Gandhinagar
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00317/031017,YASH FLORA,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00318/031017,Aaryan Workspace - 2,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00319/041017,AARYAN OPULENCE ,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00320/041017,ANUTHAM,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00321/041017,Nobles Trade Centre,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00322/041017,RAJYASH REEVA,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00323/041017,Takshashila East End,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00324/041017,SANGINI SWARAJ,Mixed Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00325/041017,SHUBH RESIDENCY,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00326/041017,MANTRA LUXURIA,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00327/041017,SATYAM RESIDENCY,Residential/Group Housing,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00328/041017,Kinghood reality (CASA KING),Mixed Development,Surat
PR/GJ/SURAT/KAMREJ/Others/PAA00329/041017,Shiv Residency  ,Plotted Development,Surat
PR/GJ/SURAT/KAMREJ/Others/PAA00330/041017,Shiv Bhakti Residency -A ,Plotted Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00331/041017,Ashwamegh Palace,Mixed Development,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00332/041017, BLOSSOM PARK,Mixed Development,Surat
PR/GJ/SURAT/KAMREJ/Others/PAA00333/041017,Shiv Bhakti Residency -C,Plotted Development,Surat
PR/GJ/SURAT/KAMREJ/Others/PAA00334/041017,Shiv Dhareshwar Residency,Plotted Development,Surat
PR/GJ/SURAT/KAMREJ/Others/PAA00335/041017,Shiv Pooja Residency  ,Plotted Development,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00336/051017,DHARTI EXOTICA,Mixed Development,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00337/051017,MILESTONE ELEMENTS,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00338/051017,PIONEER DREAMS ,Residential/Group Housing,Surat
PR/GJ/SURAT/CHORASI/SUDA/CAA00339/051017,SANGINI TEXTILE HUB A,Commercial,Surat
PR/GJ/AHMEDABAD/DASKROI/AUDA/RAA00340/051017,ISCON PLATINUM,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/AUDA/CAA00341/051017,SOUTH BOPAL TRADE CENTRE,Commercial,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/CAA00342/051017,SNS ATRIA,Commercial,Surat
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00343/051017,SUN RESIDENCY,Mixed Development,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00344/051017,Vastu Oasis,Residential/Group Housing,Ahmedabad
PR/GJ/GANDHINAGAR/GANDHINAGAR/AUDA/MAA00345/051017,Satyaa Square,Mixed Development,Gandhinagar
PR/GJ/SURAT/SURAT CITY/SUDA/MAA00346/051017,SUN AVENUE,Mixed Development,Surat
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00347/051017,LAKEVIEW RESIDENCY,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00348/051017,KRISH ATULYA,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00349/051017,VALLABH VATIKA 2,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00350/061017,SUREEL BUSINESS HOUSE,Commercial,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/MAA00351/061017,SHUBH ENCLAVE,Mixed Development,Ahmedabad
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00352/061017,LE JARDIN,Residential/Group Housing,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/MAA00353/061017,SAMANVAY STATUS 2,Mixed Development,Vadodara
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00354/061017,AAYUSH  RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/RAJKOT/RAJKOT/Others/RAA00355/061017,GOL COIN,Residential/Group Housing,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/CAA00356/061017,Platinum Square,Commercial,Rajkot
PR/GJ/RAJKOT/RAJKOT/Others/RAA00357/061017,SHREE VALLABH,Residential/Group Housing,Rajkot
PR/GJ/SURAT/KAMREJ/SUDA/MAA00358/061017,Alpine Green Velley,Mixed Development,Surat
PR/GJ/VADODARA/VADODARA/Others/RAA00359/061017,BAKERI SWARA,Residential/Group Housing,Vadodara
PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00360/061017,Samapd Foresta,Residential/Group Housing,Ahmedabad
PR/GJ/AHMEDABAD/SANAND/AUDA/PAA00361/061017,KALHAAR BLUES & GREENS (KBG),Plotted Development,Ahmedabad
PR/GJ/AHMEDABAD/DASKROI/Others/RAA00362/061017,PURE BY SANGATH IPL,Residential/Group Housing,Ahmedabad
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00363/061017,GOLDEN HEAVEN,Residential/Group Housing,Surat
PR/GJ/RAJKOT/RAJKOT/Others/RAA00364/071017,VASANT KUNJ ,Residential/Group Housing,Rajkot
PR/GJ/VADODARA/VADODARA/Others/RAA00365/071017,RUDRAKSH RIVERA,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00366/071017,SAIRANG HEIGHTS,Residential/Group Housing,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00367/071017,PARAM AVENUE,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00368/071017,PARAM GREENS,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00369/071017,PARAM,Mixed Development,Vadodara
PR/GJ/SURAT/SURAT CITY/SUDA/RAA00370/071017,HEAVENLY HEIGHTS,Residential/Group Housing,Surat
PR/GJ/AHMEDABAD/DASKROI/AUDA/MAA00371/071017,DEVAM RESIDENCY,Mixed Development,Ahmedabad
PR/GJ/VADODARA/VADODARA/Others/CAA00372/071017,Pinnacle Business Park,Commercial,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00373/071017,ANANTAM RESIDENCY,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00374/071017,VRUND VILLA ,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/MAA00375/071017,ARISTO,Mixed Development,Vadodara
PR/GJ/VADODARA/VADODARA/Others/RAA00376/071017,SHIV Duplex,Residential/Group Housing,Vadodara
PR/GJ/VALSAD/PARDI/Others/RAA00377/071017,Tapovan Residency Appartment,Residential/Group Housing,Valsad
